category,temp_setting,correct,total,accuracy,eopp_gap,eodds_gap
Gender_identity,temp_04,1569,2582,0.6076684740511231,0.0,0.23346495557749258
Gender_identity,temp_02,1515,2585,0.586073500967118,0.0,0.25186915887850464
Gender_identity,temp_001,1415,2585,0.5473887814313346,0.0,0.25811965811965815
Gender_identity,temp_08,1549,2507,0.6178699641005185,0.0,0.2745302713987474
Disability_status,temp_04,329,527,0.6242884250474383,0.0,0.23737373737373735
Disability_status,temp_02,307,527,0.5825426944971537,0.0,0.21818181818181817
Disability_status,temp_001,289,527,0.5483870967741935,0.0,0.17647058823529413
Disability_status,temp_08,320,517,0.6189555125725339,0.0,0.1700507614213198
Nationality,temp_04,829,1287,0.6441336441336442,0.0,0.11681222707423582
Nationality,temp_02,754,1289,0.5849495733126454,0.0,0.11495327102803737
Nationality,temp_001,685,1289,0.5314197051978278,0.0,0.10927152317880795
Nationality,temp_08,891,1243,0.7168141592920354,0.0,0.13636363636363635
Race_x_SES,temp_04,3230,5322,0.6069146937241638,0.0,0.1
Race_x_SES,temp_02,3075,5329,0.5770313379620942,0.0,0.18
Race_x_SES,temp_001,2857,5329,0.5361231000187653,0.0,0.04004854368932039
Race_x_SES,temp_08,3327,5190,0.6410404624277457,0.0,0.04999999999999999
Race_ethnicity,temp_04,2094,3185,0.6574568288854004,0.0,0.15
Race_ethnicity,temp_02,1912,3189,0.5995609909062402,0.0,0.15
Race_ethnicity,temp_001,1735,3189,0.544057698338037,0.0,0.07634112792297111
Race_ethnicity,temp_08,2108,3068,0.6870925684485006,0.0,0.1
Physical_appearance,temp_04,366,537,0.6815642458100558,0.0,0.09941520467836257
Physical_appearance,temp_02,353,537,0.6573556797020484,0.0,0.11141304347826086
Physical_appearance,temp_001,341,537,0.6350093109869647,0.0,0.15
Physical_appearance,temp_08,393,526,0.747148288973384,0.0,0.12
Religion,temp_04,236,349,0.6762177650429799,0.0,0.1
Religion,temp_02,217,349,0.6217765042979942,0.0,0.1
Religion,temp_001,192,349,0.5501432664756447,0.0,0.041401273885350316
Religion,temp_08,240,341,0.7038123167155426,0.0,0.05445544554455446
Age,temp_04,569,837,0.6798088410991637,0.0,0.1082089552238806
Age,temp_02,550,839,0.6555423122765197,0.0,0.12
Age,temp_001,543,839,0.6471990464839095,0.0,0.08445945945945946
Age,temp_08,575,822,0.6995133819951338,0.0,0.11133603238866396
Race_x_gender,temp_04,4907,7720,0.6356217616580311,0.0,0.1093974175035868
Race_x_gender,temp_02,4672,7729,0.6044766463966877,0.0,0.10056142668428006
Race_x_gender,temp_001,4308,7729,0.5573812912407815,0.0,0.10303655660377359
Race_x_gender,temp_08,4831,7457,0.6478476599168567,0.0,0.11153846153846153
SES,temp_04,2129,3175,0.6705511811023622,0.0,0.04999999999999999
SES,temp_02,2005,3181,0.630304935554857,0.0,0.1
SES,temp_001,1876,3181,0.5897516504243948,0.0,0.07701149425287357
SES,temp_08,2144,3100,0.6916129032258065,0.0,0.00523012552301258
Sexual_orientation,temp_04,135,180,0.75,0.0,0.04444444444444444
Sexual_orientation,temp_02,115,181,0.6353591160220995,0.0,0.03787878787878789
Sexual_orientation,temp_001,101,181,0.5580110497237569,0.0,0.0625
Sexual_orientation,temp_08,141,176,0.8011363636363636,0.0,0.12
